"ptt","year","dep_brgr","dep_UK","dep_euna_sb","fin_sah_sb","arr_wgr_a","arr_wgr_b","dep_wgr_b","dep_wgr_a","dep_wa_a","dep_wa_b","dep_wa","fin_sah_nb","arr_UK","arr_brgr","br_hab","mig_dir","dep_brgr_TS","min_lat_stopover","any_so_s_europe_sbound","lat_last_euro_so_sbound","last_wa_fix_long","last_wa_fix_lat","last_wa_sos_long","last_wa_sos_lat","br_lat","br_long","first_fix_TS","dep_UK_TS","fin_sah_sb_TS","arr_wgr_a_TS","arr_wgr_b_TS","dep_wgr_b_TS","min_lat_stopover_id","dep_wgr_a_TS","dep_wgr_a_TS_ford1plot","dep_wa_TS","arr_UK_TS","arr_brgr_TS","last_fix_TS","region","mig_dir_3cat","outcome","last_milestone_pre_death","died_this_cycle","season_died","died_after_ms2","age_at_ring","known_age","known_age_binary","cycles_since_tagging_4s","cycles_since_tagging"
"146758",2017,176,225,295,302,362,370,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2017-06-25 13:25:46",-0.78448,TRUE,45.198405,NA,NA,NA,NA,54.3080718918919,-2.59429367567568,"2015-05-23 08:01:16","2017-08-14 04:12:20","2017-10-29 07:57:02","2018-01-01 05:07:05","2018-01-05 20:31:31","2018-03-25 18:02:36",863,NA,"2018-04-01 14:57:06",NA,NA,NA,"2018-04-01 14:57:06","Forest of Bowland","SE","UC","dep_wgr_b",TRUE,"Spring",FALSE,4,NA,1,2,2
"146759",2015,176,176,216,225,283,310,313,NA,468,471,469,473,490,490,"Upland","SE","2015-06-25 18:45:34",-7.47979,TRUE,40.506685,3.77868,8.24324,3.72575,7.986,54.0175640425532,-2.45155181476846,"2015-06-04 07:56:08","2015-06-26 18:45:34","2015-08-13 00:43:14","2015-10-13 13:47:58","2015-11-06 09:00:43","2015-10-13 13:47:58",875,"2016-03-05 09:18:54","2016-02-15 02:44:41","2016-04-10 08:30:57","2016-05-04 10:04:53","2016-05-04 10:04:53","2019-07-12 08:22:37","Forest of Bowland","SE",NA,NA,FALSE,NA,FALSE,4,NA,NA,0,0
"146759",2016,175,175,212,218,271,294,NA,434,471,NA,473,478,487,490,"Upland","SE","2016-06-23 03:43:11",-7.81116,TRUE,40.507,-11.01326,15.28891,-10.094985,9.50307,54.0175640425532,-2.45155181476846,"2015-06-04 07:56:08","2016-06-24 03:43:11","2016-08-05 17:22:09","2016-09-28 20:38:53","2016-10-20 08:40:38","2017-03-03 02:18:50",889,"2017-03-10 06:13:10","2017-03-07 20:26:58","2017-04-17 08:53:25","2017-05-01 15:45:58","2017-05-04 08:50:20","2019-07-12 08:22:37","Forest of Bowland","SE",NA,NA,FALSE,NA,FALSE,4,NA,1,1,1
"146759",2017,169,169,229,NA,311,315,NA,NA,NA,478,476,481,493,493,"Upland","SE","2017-06-18 17:59:00",-7.08249,TRUE,51.42025,-2.26439,12.13266,-3.773735,7.298,54.0175640425532,-2.45155181476846,"2015-06-04 07:56:08","2017-06-19 17:59:00","2017-08-30 08:37:59","2017-11-09 03:47:33","2017-11-11 15:12:27","2018-02-25 08:31:56",905,"2018-03-16 06:20:46","2018-03-04 05:39:16","2018-04-21 07:24:23","2018-05-08 05:25:51","2018-05-08 05:25:51","2019-07-12 08:22:37","Forest of Bowland","SE",NA,NA,FALSE,NA,FALSE,4,NA,1,2,2
"146759",2018,173,173,NA,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2018-06-22 03:05:34",-7.19523,TRUE,44.666425,-9.74998,9.27586,-9.70408,9.261645,54.0175640425532,-2.45155181476846,"2015-06-04 07:56:08","2018-06-23 03:05:34","2018-07-31 05:16:31","2018-10-22 05:45:10","2018-12-04 06:12:38","2019-01-30 16:38:21",916,"2019-03-14 22:41:34","2019-02-21 07:12:41","2019-03-22 10:29:24","2019-04-28 11:28:39","2019-04-28 11:28:39","2019-07-12 08:22:37","Forest of Bowland","SE",NA,NA,FALSE,NA,FALSE,4,NA,1,3,3
"146759",2019,175,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2019-06-24 12:31:26",NA,NA,NA,NA,NA,NA,NA,54.0175640425532,-2.45155181476846,"2015-06-04 07:56:08","2019-06-27 21:32:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-07-12 08:22:37","Forest of Bowland","SE","M","dep_UK",TRUE,"Autumn",TRUE,4,NA,1,4,4
"146760",2015,173,173,NA,237,NA,338,350,NA,436,NA,470,476,494,494,"Upland","SE","2015-06-22 05:58:08",-3.08741,TRUE,45.51241,15.22705,4.98982,15.38168,4.30705,52.3280921538462,-3.86068584615385,"2015-06-12 17:51:40","2015-06-23 05:58:08","2015-08-25 01:47:26","2015-11-11 08:57:55","2015-12-04 07:43:19","2015-12-18 04:11:03",926,"2016-03-04 13:45:11","2016-01-13 00:35:02","2016-03-13 20:07:46","2016-05-08 21:47:59","2016-05-08 21:47:59","2016-06-22 20:12:58","Wales","SE",NA,NA,FALSE,NA,FALSE,5,1,0,NA,0
"146760",2016,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2016-06-14 07:28:59",NA,FALSE,48.45313,NA,NA,NA,NA,52.3280921538462,-3.86068584615385,"2015-06-12 17:51:40","2016-06-17 11:37:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-06-22 20:12:58","Wales","SE","M","dep_UK",TRUE,"Autumn",TRUE,5,2,1,NA,1
"146761",2015,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SE","2015-06-16 14:23:41",NA,TRUE,38.33669,NA,NA,NA,NA,53.1622166791045,-1.05461458955224,"2015-05-26 05:08:50","2015-06-17 14:23:41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-09-14 20:04:27","Sherwood Forest","SE","M","dep_UK",TRUE,"Autumn",TRUE,4,NA,NA,0,0
"161318",2016,183,183,206,211,288,307,332,391,NA,NA,462,468,485,485,"Lowland","SE","2016-07-01 17:45:41",-9.938,FALSE,48.98165,-5.49147,7.182,-5.776,7.46843,52.3660384176878,0.652933100692595,"2016-06-07 07:25:44","2016-07-02 17:45:41","2016-07-29 18:48:47","2016-10-15 20:36:54","2016-11-02 20:09:44","2017-01-08 16:30:36",944,"2017-01-26 17:43:55","2017-01-24 05:33:05","2017-04-03 06:35:56","2017-04-29 08:08:40","2017-04-29 08:08:40","2022-05-06 22:07:51","Thetford Forest","C",NA,NA,FALSE,NA,FALSE,5,1,0,NA,0
"161318",2017,174,174,192,200,NA,323,358,NA,NA,NA,NA,463,472,472,"Lowland","SE","2017-06-23 18:51:07",-7.965475,FALSE,49.03784,-5.3853,7.21363,-5.41189,7.22425,52.3660384176878,0.652933100692595,"2016-06-07 07:25:44","2017-06-24 18:51:07","2017-07-19 13:53:35","2017-10-14 06:23:11","2017-11-19 05:44:53","2017-10-14 06:23:11",960,"2018-01-22 16:11:21","2018-01-04 17:48:27","2018-03-28 04:36:27","2018-04-17 08:19:09","2018-04-17 08:19:09","2022-05-06 22:07:51","Thetford Forest","C",NA,NA,FALSE,NA,FALSE,5,2,1,NA,1
"161318",2018,174,174,210,218,324,338,390,NA,467,470,469,473,480,480,"Lowland","SW","2018-06-23 19:46:47",-7.89474,TRUE,41.63732,-5.9416,11.93586,-5.39424,7.0793,52.3660384176878,0.652933100692595,"2016-06-07 07:25:44","2018-06-24 19:46:47","2018-08-06 09:12:54","2018-11-21 06:23:31","2018-12-04 20:30:42","2019-01-27 04:30:27",978,"2019-02-07 09:20:18","2019-01-29 15:15:10","2019-04-14 06:17:34","2019-04-25 17:10:24","2019-04-25 17:10:24","2022-05-06 22:07:51","Thetford Forest","SW",NA,NA,FALSE,NA,FALSE,5,3,1,NA,2
