"ptt","year","dep_brgr","dep_UK","dep_euna_sb","fin_sah_sb","arr_wgr_a","arr_wgr_b","dep_wgr_b","dep_wgr_a","dep_wa_a","dep_wa_b","dep_wa","fin_sah_nb","arr_UK","arr_brgr","br_hab","mig_dir","dep_brgr_TS","min_lat_stopover","any_so_s_europe_sbound","lat_last_euro_so_sbound","last_wa_fix_long","last_wa_fix_lat","last_wa_sos_long","last_wa_sos_lat","br_lat","br_long","first_fix_TS","dep_UK_TS","fin_sah_sb_TS","arr_wgr_a_TS","arr_wgr_b_TS","dep_wgr_b_TS","min_lat_stopover_id","dep_wgr_a_TS","dep_wgr_a_TS_ford1plot","dep_wa_TS","arr_UK_TS","arr_brgr_TS","last_fix_TS"
"128296",2013,1.35168981481481,-2.26594907407407,-2.26944444444444,-2.28178240740741,2.33479166666667,-2.34965277777778,2.6583912037037,-9.6859837962963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128297",2013,1.92133101851852,-1.92133101851852,-2.46511574074074,-3.13877314814815,2.05931712962963,-2.42233796296296,2.44708333333333,-7.41071759259259,NA,NA,20.0359837962963,-2.29875,2.44211805555556,-2.44211805555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128297",2014,2.07508101851852,-2.07508101851852,-7.28287037037037,-2.33805555555556,2.18327546296296,-17.0328819444444,12.2914351851852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128298",2013,2.58392361111111,-2.58392361111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128299",2013,2.37887731481481,-2.37887731481481,-2.33377314814815,-2.63633101851852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128300",2013,1.72157407407407,-1.86809027777778,-2.2283912037037,-1.50565972222222,2.33346064814815,-2.32302083333333,4.79476851851852,-9.51451388888889,2.63021990740741,-0.64244212962963,2,-1.5399537037037,1.4109837962963,-1.20560185185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128300",2014,1.73238425925926,-2.05600694444444,-2.94011574074074,-0.921458333333333,2.38188657407407,-2.68097222222222,11.9774189814815,-4.66449074074074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128302",2013,2.44788194444444,-2.44788194444444,-4.77856481481481,-1.51395833333333,2.49517361111111,-2.47671296296296,2.50556712962963,-1.23799768518519,8.07527777777778,-0.686851851851852,2,-1.17144675925926,2.14802083333333,-1.78435185185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128302",2014,2.12273148148148,-2.12273148148148,-2.56972222222222,-0.977349537037037,2.43142361111111,-1.68302083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128303",2013,2.25255787037037,-1.29831018518519,-2.56693287037037,-2.69136574074074,2.1730787037037,-2.28967592592593,2.29761574074074,-2.31438657407407,2.33871527777778,-0.765023148148148,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128304",2013,2.44619212962963,-2.44619212962963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134950",2014,2.28475694444444,-2.28475694444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134951",2014,2.5558912037037,-2.5558912037037,-2.03844907407407,-1.39587962962963,2.55269675925926,-2.5018287037037,4.71936342592593,-2.49001157407407,9.59349537037037,-9.59349537037037,2,-2.50528935185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134952",2014,2.09849537037037,-2.52359953703704,-4.67637731481481,-2.35523148148148,2.18395833333333,-6.85329861111111,6.89393518518519,-11.8471990740741,4.49668981481481,NA,2.38458333333333,-2.30685185185185,0.920960648148148,-0.920960648148148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134952",2015,2.26585648148148,-4.6390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134953",2014,2.24060185185185,-2.24060185185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134955",2014,2.0250462962963,-2.64510416666667,-2.61261574074074,-2.61261574074074,2.59585648148148,-2.13792824074074,2.28929398148148,-19.6135185185185,0.994074074074074,-15.8962615740741,2,-2.27649305555556,1.6899537037037,-1.6899537037037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134955",2015,0.985324074074074,-0.763240740740741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134956",2014,2.20268518518519,-2.20268518518519,-2.48564814814815,-2.31758101851852,1.97357638888889,-2.36012731481481,2.32574074074074,-28.7120717592593,58.2205671296296,NA,58.2205671296296,NA,58.2205671296296,-58.2205671296296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134956",2015,12.4028472222222,-12.4028472222222,-8.57027777777778,-2.14255787037037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
